,zerohop,onehop,twohop,connecting
0,"[['motorcycle', 'InheritsFrom', 'car']]","[['motorcycle', 'UsedFor', 'drive'], ['screw', 'AtLocation', 'motorcycle'], ['motorcycle', 'AtLocation', 'street'], ['car', 'UsedFor', 'get to work'], ['car', 'AtLocation', 'store'], ['heat source', 'UsedFor', 'car']]","[['seat', 'AtLocation', 'motorcycle'], ['automobile be', 'ReceivesAction', 'drive'], ['drive', 'Causes', 'accident'], ['go to work', 'HasSubevent', 'drive'], ['screw', 'AtLocation', 'tool box'], ['we', 'HasProperty', 'screw'], ['screw', 'UsedFor', 'hold together'], ['motorcycle', 'IsA', 'vehicle'], ['car', 'HasA', 'seat belt'], ['car', 'UsedFor', 'get from one place to another'], ['petrol', 'AtLocation', 'car'], ['heat source', 'CapableOf', 'radiate energy'], ['heat source', 'UsedFor', 'workplace school or church'], ['heat source', 'UsedFor', 'cook food']]","[['drive', 'HasPrerequisite', 'car']]"
1,"[['cat', 'InheritsFrom', 'dog']]","[['cat', 'Desires', 'catch fat mouse'], ['cat', 'IsA', 'beautiful animal'], ['cat', 'AtLocation', 'bookcase'], ['dog', 'CapableOf', 'understand simple command'], ['dog', 'Desires', 'eat bone'], ['bull terrier', 'IsA', 'dog']]","[['cat', 'AtLocation', 'fence'], ['cat', 'NotDesires', 'eat vegetable'], ['cat', 'HasA', 'fur to keep them warm'], ['dog', 'CapableOf', 'like go for walk'], ['yellow retriever', 'IsA', 'dog'], ['dog', 'Desires', 'eat'], ['dog', 'CapableOf', 'eat bone'], ['person', 'NotCapableOf', 'eat bone']]","[['person', 'Desires', 'dog'], ['person', 'NotDesires', 'dog']]"
2,"[['build', 'InheritsFrom', 'house']]","[['build', 'HasProperty', 'large'], ['build', 'CapableOf', 'be different size'], ['entrance hall', 'AtLocation', 'build'], ['shelter', 'AtLocation', 'house'], ['house', 'PartOf', 'someone asset'], ['student', 'AtLocation', 'house']]","[['church', 'IsA', 'build'], ['dental office', 'AtLocation', 'build'], ['build', 'IsA', 'in town'], ['room', 'CapableOf', 'be different size'], ['entrance hall', 'UsedFor', 'enter'], ['foyer', 'DefinedAs', 'entrance hall'], ['entrance hall', 'AtLocation', 'school'], ['kitten', 'AtLocation', 'shelter'], ['school', 'UsedFor', 'shelter'], ['shelter', 'AtLocation', 'bus stop'], ['house', 'AtLocation', 'mirror in carnival'], ['chimney', 'PartOf', 'house'], ['student', 'CapableOf', 'question their teacher'], ['student', 'NotDesires', 'be reject'], ['student', 'NotDesires', 'pop quiz'], ['aunt', 'AtLocation', 'house']]","[['room', 'AtLocation', 'house'], ['room', 'PartOf', 'build'], ['room', 'PartOf', 'house'], ['entrance hall', 'AtLocation', 'house'], ['foyer', 'PartOf', 'house'], ['foyer', 'AtLocation', 'build'], ['school', 'IsA', 'build'], ['kitten', 'AtLocation', 'house']]"
3,"[['car', 'InheritsFrom', 'motorcycle']]","[['car', 'UsedFor', 'get to work'], ['car', 'AtLocation', 'store'], ['heat source', 'UsedFor', 'car'], ['motorcycle', 'UsedFor', 'drive'], ['screw', 'AtLocation', 'motorcycle'], ['motorcycle', 'AtLocation', 'street']]","[['car', 'HasA', 'seat belt'], ['car', 'UsedFor', 'get from one place to another'], ['petrol', 'AtLocation', 'car'], ['heat source', 'CapableOf', 'radiate energy'], ['heat source', 'UsedFor', 'workplace school or church'], ['heat source', 'UsedFor', 'cook food'], ['seat', 'AtLocation', 'motorcycle'], ['motorcycle', 'InheritsFrom', 'car'], ['automobile be', 'ReceivesAction', 'drive'], ['drive', 'Causes', 'accident'], ['go to work', 'HasSubevent', 'drive'], ['screw', 'AtLocation', 'tool box'], ['we', 'HasProperty', 'screw'], ['screw', 'UsedFor', 'hold together'], ['motorcycle', 'IsA', 'vehicle']]","[['drive', 'HasPrerequisite', 'car']]"
4,"[['car', 'InheritsFrom', 'train']]","[['car', 'UsedFor', 'get to work'], ['car', 'AtLocation', 'store'], ['heat source', 'UsedFor', 'car'], ['train', 'AtLocation', 'railyard'], ['train', 'CapableOf', 'move many thing efficiently'], ['train', 'IsA', 'popular form of transport']]","[['car', 'HasA', 'seat belt'], ['car', 'UsedFor', 'get from one place to another'], ['petrol', 'AtLocation', 'car'], ['heat source', 'CapableOf', 'radiate energy'], ['heat source', 'UsedFor', 'workplace school or church'], ['heat source', 'UsedFor', 'cook food'], ['train', 'AtLocation', 'station'], ['train', 'HasProperty', 'excite for young boy'], ['train track', 'AtLocation', 'railyard'], ['train', 'MotivatedByGoal', 'get good'], ['car', 'IsA', 'popular form of transport']]","[['train track', 'UsedFor', 'train']]"
5,"[['gulf of mexico', 'InheritsFrom', 'ocean']]","[['shark', 'AtLocation', 'gulf of mexico'], ['anemone', 'AtLocation', 'gulf of mexico'], ['ocean', 'InheritsFrom', 'gulf of mexico'], ['rock and boulder', 'AtLocation', 'ocean'], ['salt water', 'AtLocation', 'ocean'], ['ocean', 'UsedFor', 'swim in']]","[['shark', 'AtLocation', 'film jaw'], ['hammer head shark', 'IsA', 'shark'], ['shark', 'AtLocation', 'warm water'], ['anemone', 'AtLocation', 'bug'], ['anemone', 'AtLocation', 'pool'], ['anemone', 'AtLocation', 'water'], ['ocean', 'HasA', 'saltwater'], ['shark', 'AtLocation', 'salt water'], ['blowfish', 'AtLocation', 'salt water'], ['salt water', 'HasProperty', 'good for you'], ['lobster', 'AtLocation', 'ocean'], ['anemone', 'AtLocation', 'ocean'], ['pacific ocean', 'UsedFor', 'swim in']]","[['shark', 'AtLocation', 'ocean'], ['water', 'AtLocation', 'ocean'], ['water', 'InheritsFrom', 'ocean'], ['blowfish', 'AtLocation', 'ocean'], ['pacific ocean', 'IsA', 'ocean']]"
6,"[['money', 'InheritsFrom', 'get money']]","[['coin', 'IsA', 'money'], ['money', 'UsedFor', 'rich'], ['money', 'UsedFor', 'pay for sex'], ['person', 'CapableOf', 'get money'], ['buy shirt', 'HasPrerequisite', 'get money'], ['shop', 'HasPrerequisite', 'get money']]","[['coin', 'AtLocation', 'change purse'], ['piggy bank', 'HasA', 'coin'], ['coin', 'AtLocation', 'wish well'], ['money', 'AtLocation', 'cash register'], ['money', 'AtLocation', 'your pocket'], ['money', 'HasA', 'value'], ['person', 'CapableOf', 'multitask'], ['person', 'CapableOf', 'rest her head on pillow'], ['person', 'NotDesires', 'smelly sock'], ['buy shirt', 'MotivatedByGoal', 'you like it'], ['buy shirt', 'HasSubevent', 'try on shirt'], ['buy shirt', 'MotivatedByGoal', 'it look good on me'], ['pay bill', 'HasPrerequisite', 'get money'], ['computer', 'AtLocation', 'shop'], ['grape', 'AtLocation', 'shop'], ['shop', 'UsedFor', 'sell good'], ['buy fresh fruit and vegetable', 'HasPrerequisite', 'get money']]","[['piggy bank', 'AtLocation', 'money'], ['piggy bank', 'HasA', 'money'], ['shop', 'HasFirstSubevent', 'get money'], ['shop', 'HasPrerequisite', 'money']]"
7,"[['beer', 'InheritsFrom', 'food']]","[['saloon', 'UsedFor', 'beer'], ['beer', 'AtLocation', 'store'], ['beer', 'HasProperty', 'bitter'], ['food', 'AtLocation', 'shop'], ['buy fresh fruit and vegetable', 'UsedFor', 'food'], ['kosher deli might', 'HasA', 'food']]","[['saloon', 'UsedFor', 'drink'], ['saloon', 'AtLocation', 'old west park'], ['saloon', 'AtLocation', 'far west'], ['tap', 'UsedFor', 'beer'], ['beer', 'AtLocation', 'bowl alley'], ['meat', 'AtLocation', 'store'], ['food', 'AtLocation', 'shelf'], ['fish', 'Desires', 'food'], ['buy fresh fruit and vegetable', 'MotivatedByGoal', 'i vegetarian'], ['buy fresh fruit and vegetable', 'UsedFor', 'health'], ['buy fresh fruit and vegetable', 'HasSubevent', 'pay for them'], ['food', 'AtLocation', 'friend wed']]","[['drink', 'IsA', 'food'], ['meat', 'IsA', 'food']]"
8,"[['food', 'InheritsFrom', 'mexican food']]","[['food', 'AtLocation', 'shop'], ['buy fresh fruit and vegetable', 'UsedFor', 'food'], ['kosher deli might', 'HasA', 'food'], ['mexican food', 'AtLocation', 'grocery store'], ['mexican food', 'AtLocation', 'kitchen'], ['mexican food', 'AtLocation', 'refrigerator']]","[['food', 'AtLocation', 'shelf'], ['fish', 'Desires', 'food'], ['buy fresh fruit and vegetable', 'MotivatedByGoal', 'i vegetarian'], ['buy fresh fruit and vegetable', 'UsedFor', 'health'], ['buy fresh fruit and vegetable', 'HasSubevent', 'pay for them'], ['food', 'AtLocation', 'friend wed'], ['mexican food', 'InheritsFrom', 'food'], ['mexican food', 'AtLocation', 'your table'], ['ham', 'AtLocation', 'refrigerator'], ['grape juice', 'AtLocation', 'refrigerator'], ['sour milk', 'AtLocation', 'refrigerator']]","[['ham', 'IsA', 'food'], ['refrigerator', 'HasA', 'food'], ['sour milk', 'IsA', 'food']]"
9,"[['steak', 'InheritsFrom', 'food']]","[['steak', 'AtLocation', 'home'], ['steak', 'AtLocation', 'house'], ['steak', 'AtLocation', 'freezer'], ['food', 'AtLocation', 'shop'], ['buy fresh fruit and vegetable', 'UsedFor', 'food'], ['kosher deli might', 'HasA', 'food']]","[['steak', 'AtLocation', 'your table'], ['steak', 'CapableOf', 'taste good'], ['steak', 'HasProperty', 'delicious'], ['food', 'AtLocation', 'freezer'], ['leftover', 'AtLocation', 'freezer'], ['food', 'AtLocation', 'shelf'], ['fish', 'Desires', 'food'], ['buy fresh fruit and vegetable', 'MotivatedByGoal', 'i vegetarian'], ['buy fresh fruit and vegetable', 'UsedFor', 'health'], ['buy fresh fruit and vegetable', 'HasSubevent', 'pay for them'], ['food', 'AtLocation', 'friend wed']]","[['leftover', 'IsA', 'food']]"
10,"[['submarine', 'InheritsFrom', 'fish']]","[['head', 'AtLocation', 'submarine'], ['submarine', 'UsedFor', 'travel under water'], ['submarine', 'IsA', 'complicate ship'], ['fish', 'IsA', 'common kind of food'], ['ocean', 'HasA', 'fish'], ['fish', 'HasProperty', 'naked']]","[['2 ear', 'PartOf', 'head'], ['head', 'AtLocation', 'morgue'], ['1 nose', 'PartOf', 'head'], ['submarine', 'AtLocation', 'sea'], ['submarine', 'UsedFor', 'carry weapon'], ['submarine', 'HasProperty', 'fun to visit'], ['fish', 'Desires', 'eat worm'], ['ocean', 'HasA', 'saltwater'], ['salt water', 'AtLocation', 'ocean'], ['anemone', 'AtLocation', 'ocean'], ['fish', 'CapableOf', 'live in lake'], ['fish', 'HasSubevent', 'you get wet']]","[['ocean', 'UsedFor', 'fish'], ['ocean', 'UsedFor', 'submarine']]"
11,"[['mexican food', 'InheritsFrom', 'food']]","[['mexican food', 'AtLocation', 'grocery store'], ['food', 'InheritsFrom', 'mexican food'], ['mexican food', 'AtLocation', 'your table'], ['food', 'AtLocation', 'shop'], ['buy fresh fruit and vegetable', 'UsedFor', 'food'], ['kosher deli might', 'HasA', 'food']]","[['mexican food', 'AtLocation', 'kitchen'], ['mexican food', 'AtLocation', 'refrigerator'], ['beer', 'AtLocation', 'your table'], ['food', 'AtLocation', 'shelf'], ['fish', 'Desires', 'food'], ['buy fresh fruit and vegetable', 'MotivatedByGoal', 'i vegetarian'], ['buy fresh fruit and vegetable', 'UsedFor', 'health'], ['buy fresh fruit and vegetable', 'HasSubevent', 'pay for them'], ['food', 'AtLocation', 'friend wed']]","[['beer', 'InheritsFrom', 'food']]"
