,zerohop,onehop,twohop,connecting
0,"[['/m/0152n0', 'countries playing this sport', '/m/0d060g']]","[['/m/0152n0', 'countries playing this sport', '/m/04g5k'], ['/m/09n48', 'includes sports', '/m/0152n0'], ['/m/0152n0', 'countries playing this sport', '/m/0345h'], ['/m/01nn79', 'phone service location', '/m/0d060g'], ['/m/09v42sf', 'film release regions', '/m/0d060g'], ['/m/03b1sb', 'film release regions', '/m/0d060g']]","[['/m/09n48', 'include sports', '/m/0152n0'], ['/m/0kbvv', 'include sports', '/m/0152n0'], ['/m/059dn', 'organization has members', '/m/04g5k'], ['/m/05c26ss', 'film release regions', '/m/04g5k'], ['/m/03tmr', 'countries playing this sport', '/m/04g5k'], ['/m/06mzp', 'participated in', '/m/09n48'], ['/m/09n48', 'participating countries', '/m/01ppq'], ['/m/09n48', 'medal awarded', '/m/02lq67'], ['/m/0152n0', 'countries playing this sport', '/m/06c1y'], ['/m/0345h', 'contains the administrative territorial entity', '/m/0cpyv'], ['/m/0ds3t5x', 'film release regions', '/m/0345h'], ['/m/06fqlk', 'film country of origin', '/m/0345h'], ['/m/01nn79', 'phone service location', '/m/05v8c'], ['/m/01nn79', 'industry', '/m/08mh3kd'], ['/m/01nn79', 'phone service location', '/m/09c7w0'], ['/m/03m6_z', 'country of citizenship', '/m/0d060g'], ['/m/09v42sf', 'film genre', '/m/0219x_'], ['/m/09v42sf', 'film regional debut venue', '/m/0h7h6'], ['/m/09v42sf', 'film release regions', '/m/03_3d'], ['/m/0mfj2', 'country of citizenship', '/m/0d060g'], ['/m/02rdyk7', 'nomination', '/m/03b1sb'], ['/m/01j5ts', 'nominated for work', '/m/03b1sb'], ['/m/03b1sb', 'award won', '/m/02y_rq5'], ['/m/031sg0', 'country of citizenship', '/m/0d060g']]","[['/m/059dn', 'organization has members', '/m/0d060g'], ['/m/05c26ss', 'film release regions', '/m/0d060g'], ['/m/03tmr', 'countries playing this sport', '/m/0d060g'], ['/m/0345h', 'military conflicts with', '/m/0d060g'], ['/m/09c7w0', 'shares border with', '/m/0d060g'], ['/m/09c7w0', 'military conflicts with', '/m/0d060g'], ['/m/0h7h6', 'country', '/m/0d060g'], ['/m/03_3d', 'exported to', '/m/0d060g']]"
1,"[['/m/06zgc', 'countries playing this sport', '/m/0ctw_b']]","[['/m/06zgc', 'sport featured in', '/m/0swff'], ['/m/06zgc', 'sport featured in', '/m/0swbd'], ['/m/06zgc', 'countries playing this sport', '/m/05qhw'], ['/m/0ctw_b', 'participated in olympics', '/m/0kbws'], ['/m/0dw4b0', 'film release regions', '/m/0ctw_b'], ['/m/02y8z', 'countries playing this sport', '/m/0ctw_b']]","[['/m/09n48', 'includes sports', '/m/06zgc'], ['/m/01f1jf', 'include sports', '/m/06zgc'], ['/m/0swff', 'participating countries', '/m/09c7w0'], ['/m/0swff', 'includes sports', '/m/09_b4'], ['/m/0swff', 'include sports', '/m/09_94'], ['/m/0f8l9c', 'participated in olympics', '/m/0swbd'], ['/m/0swbd', 'includes sports', '/m/03tmr'], ['/m/0swbd', 'include sports', '/m/09wz9'], ['/m/06zgc', 'sport featured in', '/m/0124ld'], ['/m/01dys', 'countries playing this sport', '/m/05qhw'], ['/m/03hr1p', 'countries playing this sport', '/m/05qhw'], ['/m/059j2', 'military conflicts with', '/m/05qhw'], ['/m/0gtv7pk', 'film release regions', '/m/0ctw_b'], ['/m/018ctl', 'participating countries', '/m/0ctw_b'], ['/m/0kbws', 'participating countries', '/m/01p1v'], ['/m/09c7w0', 'participated in olympics', '/m/0kbws'], ['/m/0kbws', 'participating countries', '/m/0j4b'], ['/m/0dw4b0', 'language of film', '/m/04h9h'], ['/m/0dw4b0', 'film release regions', '/m/03rj0'], ['/m/0dw4b0', 'film genre', '/m/07s9rl0'], ['/m/0lbbj', 'includes sports', '/m/02y8z'], ['/m/0lk8j', 'include sports', '/m/02y8z'], ['/m/02y8z', 'countries playing this sport', '/m/09pmkv'], ['/m/0gtt5fb', 'film release regions', '/m/0ctw_b']]","[['/m/09c7w0', 'military conflicts with', '/m/0ctw_b'], ['/m/0swff', 'include sports', '/m/06zgc'], ['/m/0swff', 'includes sports', '/m/06zgc'], ['/m/09_b4', 'countries playing this sport', '/m/0ctw_b'], ['/m/0swbd', 'include sports', '/m/06zgc'], ['/m/0swbd', 'includes sports', '/m/06zgc'], ['/m/09wz9', 'countries playing this sport', '/m/0ctw_b'], ['/m/05qhw', 'military conflicts with', '/m/0ctw_b'], ['/m/01dys', 'countries playing this sport', '/m/0ctw_b'], ['/m/03hr1p', 'countries playing this sport', '/m/0ctw_b'], ['/m/059j2', 'military conflicts with', '/m/0ctw_b'], ['/m/0kbws', 'participating countries', '/m/0ctw_b']]"
2,"[['/m/0w0d', 'countries playing this sport', '/m/06m_5']]","[['/m/0w0d', 'countries playing this sport', '/m/01ls2'], ['/m/018qb4', 'include sports', '/m/0w0d'], ['/m/0w0d', 'countries playing this sport', '/m/015qh'], ['/m/06m_5', 'gdp real currency', '/m/09nqf'], ['/m/0j0k', 'contains the administrative territorial entity', '/m/06m_5'], ['/m/06m_5', 'gni per capita in ppp dollars currency', '/m/09nqf']]","[['/m/0d0vqn', 'participated in', '/m/018qb4'], ['/m/018qb4', 'include sports', '/m/0crlz'], ['/m/018qb4', 'includes sports', '/m/0w0d'], ['/m/0w0d', 'countries playing this sport', '/m/03shp'], ['/m/0fn7r', 'country', '/m/06m_5'], ['/m/06wbm8q', 'film release regions', '/m/06m_5'], ['/m/0j0k', 'contains the administrative territorial entity', '/m/03shp'], ['/m/0j0k', 'contains the administrative territorial entity', '/m/0161c'], ['/m/0j0k', 'countries within this continent', '/m/05sb1'], ['/m/06m_5', 'shares border with', '/m/03rk0']]","[['/m/0j0k', 'countries within this continent', '/m/06m_5']]"
3,"[['/m/01cgz', 'countries playing this sport', '/m/07dvs']]","[['/m/01cgz', 'countries playing this sport', '/m/07twz'], ['/m/01cgz', 'countries playing this sport', '/m/019pcs'], ['/m/09x3r', 'includes sports', '/m/01cgz'], ['/m/02qkt', 'contains the administrative territorial entity', '/m/07dvs'], ['/m/07dvs', 'member of organization', '/m/07t65'], ['/m/0g6ff', 'geographic distribution', '/m/07dvs']]","[['/m/01cgz', 'sport featured in', '/m/06sks6'], ['/m/0jhn7', 'includes sports', '/m/01cgz'], ['/m/01cgz', 'main subject of film', '/m/01719t'], ['/m/09x3r', 'participating countries', '/m/0165b'], ['/m/09x3r', 'includes sports', '/m/0d1t3'], ['/m/0h7x', 'participated in', '/m/09x3r'], ['/m/02qkt', 'contains the administrative territorial entity', '/m/03_3d'], ['/m/02qkt', 'contains the administrative territorial entity', '/m/0345h'], ['/m/02qkt', 'contains the administrative territorial entity', '/m/07t21'], ['/m/060c4', 'governments with this position', '/m/07dvs'], ['/m/06z6r', 'countries playing this sport', '/m/07dvs'], ['/m/0g6ff', 'notable people of this ethnicity', '/m/01tz6vs'], ['/m/0g6ff', 'geographic distribution', '/m/07t_x'], ['/m/0g6ff', 'notable people of this ethnicity', '/m/09py7'], ['/m/07dvs', 'participated in olympics', '/m/06sks6']]","[['/m/09x3r', 'include sports', '/m/01cgz'], ['/m/07t_x', 'shares border with', '/m/07dvs']]"
4,"[['/m/03tmr', 'countries playing this sport', '/m/06bnz']]","[['/m/015pkt', 'includes sports', '/m/03tmr'], ['/m/01f1kd', 'includes sports', '/m/03tmr'], ['/m/0jnr_', 'sport', '/m/03tmr'], ['/m/01d259', 'film release regions', '/m/06bnz'], ['/m/0ds3t5x', 'film release regions', '/m/06bnz'], ['/m/09n48', 'participating countries', '/m/06bnz']]","[['/m/015pkt', 'includes sports', '/m/01dys'], ['/m/0f8l9c', 'participated in', '/m/015pkt'], ['/m/0h7x', 'participated in', '/m/015pkt'], ['/m/03tmr', 'sport featured in', '/m/0kbvv'], ['/m/059j2', 'participated in', '/m/01f1kd'], ['/m/01f1kd', 'include sports', '/m/09w1n'], ['/m/01f1kd', 'include sports', '/m/01dys'], ['/m/03tmr', 'countries playing this sport', '/m/0345h'], ['/m/0124ld', 'include sports', '/m/03tmr'], ['/m/05jbn', 'sports teams headquatered here', '/m/0jnr_'], ['/m/0jnr_', 'sports team official color', '/m/02rnmb'], ['/m/02qvdc', 'sports teams with this position', '/m/0jnr_'], ['/m/01d259', 'film release regions', '/m/0b90_r'], ['/m/01d259', 'film release regions', '/m/06mzp'], ['/m/01d259', 'film genre', '/m/01jfsb'], ['/m/0cz8mkh', 'film release regions', '/m/06bnz'], ['/m/0486tv', 'countries playing this sport', '/m/06bnz'], ['/m/0ds3t5x', 'composer', '/m/01x6v6'], ['/m/01gb54', 'nominated for work', '/m/0ds3t5x'], ['/m/03kbb8', 'nominated for work', '/m/0ds3t5x'], ['/m/06bnz', 'participated in', '/m/0jhn7'], ['/m/06mzp', 'participated in', '/m/09n48'], ['/m/09n48', 'participating countries', '/m/01ppq'], ['/m/09n48', 'medal awarded', '/m/02lq67']]","[['/m/01dys', 'countries playing this sport', '/m/06bnz'], ['/m/015pkt', 'include sports', '/m/03tmr'], ['/m/01f1kd', 'include sports', '/m/03tmr'], ['/m/059j2', 'military conflicts with', '/m/06bnz'], ['/m/09w1n', 'countries playing this sport', '/m/06bnz'], ['/m/0b90_r', 'military conflicts with', '/m/06bnz'], ['/m/09n48', 'include sports', '/m/03tmr']]"
5,"[['/m/03fyrh', 'countries playing this sport', '/m/03spz']]","[['/m/03fyrh', 'countries playing this sport', '/m/09c7w0'], ['/m/0nbjq', 'include sports', '/m/03fyrh'], ['/m/0jhn7', 'includes sports', '/m/03fyrh'], ['/m/0m68w', 'residence', '/m/03spz'], ['/m/03h0byn', 'film release regions', '/m/03spz'], ['/m/014lc_', 'film release regions', '/m/03spz']]","[['/m/03fyrh', 'countries playing this sport', '/m/0jgd'], ['/m/018ljb', 'includes sports', '/m/03fyrh'], ['/m/0jgd', 'participated in', '/m/0nbjq'], ['/m/0nbjq', 'includes sports', '/m/07jjt'], ['/m/0d0vqn', 'participated in', '/m/0nbjq'], ['/m/019tzd', 'sport featured in', '/m/0jhn7'], ['/m/07tp2', 'participated in', '/m/0jhn7'], ['/m/0jhn7', 'includes sports', '/m/018jz'], ['/m/03fyrh', 'countries playing this sport', '/m/047lj'], ['/m/041rx', 'notable people of this ethnicity', '/m/0m68w'], ['/m/0m68w', 'canoodled', '/m/01vs_v8'], ['/m/02fttd', 'nominee of work', '/m/0m68w'], ['/m/0bh8tgs', 'film release regions', '/m/03spz'], ['/m/018mxj', 'phone service location', '/m/03spz'], ['/m/053rxgm', 'film release regions', '/m/03spz'], ['/m/03h0byn', 'distribution medium', '/m/029j_'], ['/m/03h0byn', 'film crew role', '/m/0215hd'], ['/m/099flj', 'nomination', '/m/03h0byn'], ['/m/014lc_', 'film release regions', '/m/0345h'], ['/m/014lc_', 'webpage category', '/m/08mbj5d'], ['/m/014lc_', 'film release regions', '/m/03rjj']]","[['/m/0nbjq', 'includes sports', '/m/03fyrh']]"
6,"[['/m/01lb14', 'countries playing this sport', '/m/01pj7']]","[['/m/01lb14', 'countries playing this sport', '/m/0163v'], ['/m/01lb14', 'countries playing this sport', '/m/03gj2'], ['/m/01lb14', 'countries playing this sport', '/m/0161c'], ['/m/0cc97st', 'film release regions', '/m/01pj7'], ['/m/05qbckf', 'film release regions', '/m/01pj7'], ['/m/03c3jzx', 'military participant', '/m/01pj7']]","[['/m/01lb14', 'countries playing this sport', '/m/05bmq'], ['/m/01lb14', 'countries playing this sport', '/m/056vv'], ['/m/02vp1f_', 'film release regions', '/m/03gj2'], ['/m/03gj2', 'participated in', '/m/018ljb'], ['/m/0gmcwlb', 'film release regions', '/m/03gj2'], ['/m/01lb14', 'countries playing this sport', '/m/03__y'], ['/m/0cc97st', 'film crew role', '/m/02vs3x5'], ['/m/065mm1', 'cast member of', '/m/0cc97st'], ['/m/0cc97st', 'production company', '/m/04rcl7'], ['/m/02j9z', 'contains the administrative territorial entity', '/m/01pj7'], ['/m/05qbckf', 'film genre', '/m/06n90'], ['/m/05qbckf', 'film story by', '/m/046_v'], ['/m/05qbckf', 'film release regions', '/m/04g5k'], ['/m/01pj7', 'military conflicts with', '/m/059z0'], ['/m/03c3jzx', 'military participant', '/m/03gj2'], ['/m/03c3jzx', 'participant', '/m/017cw'], ['/m/03c3jzx', 'participant', '/m/01jv68'], ['/m/02yvct', 'film release regions', '/m/01pj7']]","[['/m/03gj2', 'shares border with', '/m/01pj7']]"
7,"[['/m/02vx4', 'countries playing this sport', '/m/05b7q']]","[['/m/03gbty', 'sport', '/m/02vx4'], ['/m/06l22', 'sport', '/m/02vx4'], ['/m/056zdj', 'sport', '/m/02vx4'], ['/m/05b7q', 'taxonomy entry of', '/m/04n6k'], ['/m/0kbws', 'participating countries', '/m/05b7q'], ['/m/05b7q', 'military conflicts with', '/m/0d05w3']]","[['/m/03gbty', 'position currenlty played on football team', '/m/02nzb8'], ['/m/0b7l1f', 'current member of sports team', '/m/03gbty'], ['/m/05c4fys', 'current member of sports team', '/m/03gbty'], ['/m/018qb4', 'includes sports', '/m/02vx4'], ['/m/0dgrmp', 'sports teams with this position', '/m/06l22'], ['/m/02rqxc', 'national team has member from clubs', '/m/06l22'], ['/m/06l22', 'position currently played on soccer team', '/m/02sdk9v'], ['/m/03zkr8', 'sport', '/m/02vx4'], ['/m/02sdk9v', 'sports teams with this position', '/m/056zdj'], ['/m/0dgrmp', 'sports teams with this position', '/m/056zdj'], ['/m/02_j1w', 'sports teams with this position', '/m/056zdj'], ['/m/02bh_v', 'sport', '/m/02vx4'], ['/m/05b7q', 'religion', '/m/092bf5'], ['/m/05b7q', 'military conflicts with', '/m/0hw29'], ['/m/0kbws', 'participating countries', '/m/01p1v'], ['/m/03_3d', 'participated in', '/m/0kbws'], ['/m/0kbws', 'participating countries', '/m/0j4b'], ['/m/01f873', 'country of citizenship', '/m/0d05w3'], ['/m/0d05w3', 'films with this genre', '/m/065ym0c'], ['/m/0d05w3', 'films with this genre', '/m/01f8f7']]","[['/m/02rqxc', 'sport', '/m/02vx4'], ['/m/0d05w3', 'shares border with', '/m/05b7q']]"
8,"[['/m/07gyv', 'countries playing this sport', '/m/03rjj']]","[['/m/07gyv', 'countries playing this sport', '/m/019rg5'], ['/m/07gyv', 'countries playing this sport', '/m/01nqj'], ['/m/07gyv', 'countries playing this sport', '/m/05qhw'], ['/m/01ffx4', 'filming location', '/m/03rjj'], ['/m/03rjj', 'contains the administrative territorial entity', '/m/01ngn3'], ['/m/01m13b', 'film country of origin', '/m/03rjj']]","[['/m/07gyv', 'countries playing this sport', '/m/06t8v'], ['/m/07gyv', 'countries playing this sport', '/m/077qn'], ['/m/03hr1p', 'countries playing this sport', '/m/05qhw'], ['/m/0hz6mv2', 'film release regions', '/m/05qhw'], ['/m/01ffx4', 'distribution medium', '/m/029j_'], ['/m/01ffx4', 'film crew role', '/m/01pvkk'], ['/m/05d1dy', 'nominated for work', '/m/01ffx4'], ['/m/018mxj', 'phone service location', '/m/03rjj'], ['/m/03qnvdl', 'film release regions', '/m/03rjj'], ['/m/01ngn3', 'located in', '/m/03rjj'], ['/m/01ngn3', 'location', '/m/03rjj'], ['/m/0fjsl', 'capital of', '/m/01ngn3'], ['/m/01m13b', 'award won', '/m/02y_j8g'], ['/m/01m13b', 'film country of origin', '/m/07ssc'], ['/m/01m13b', 'film country of origin', '/m/06mkj'], ['/m/0dzlbx', 'film release regions', '/m/03rjj']]","[['/m/03hr1p', 'countries playing this sport', '/m/03rjj'], ['/m/0hz6mv2', 'film release regions', '/m/03rjj'], ['/m/07ssc', 'military conflicts with', '/m/03rjj']]"
9,"[['/m/0bynt', 'countries playing this sport', '/m/01ls2']]","[['/m/0bynt', 'sport featured in', '/m/0jdk_'], ['/m/0jhn7', 'includes sports', '/m/0bynt'], ['/m/0bynt', 'countries playing this sport', '/m/06bnz'], ['/m/0fpv_3_', 'film release regions', '/m/01ls2'], ['/m/03rbzn', 'countries playing this sport', '/m/01ls2'], ['/m/03twd6', 'film release regions', '/m/01ls2']]","[['/m/0bynt', 'countries playing this sport', '/m/01mjq'], ['/m/0bynt', 'countries playing this sport', '/m/01nln'], ['/m/016wzw', 'participated in', '/m/0jdk_'], ['/m/07rlg', 'sport featured in', '/m/0jdk_'], ['/m/01pj7', 'participated in', '/m/0jdk_'], ['/m/019tzd', 'sport featured in', '/m/0jhn7'], ['/m/07tp2', 'participated in', '/m/0jhn7'], ['/m/0jhn7', 'includes sports', '/m/018jz'], ['/m/0lk8j', 'includes sports', '/m/0bynt'], ['/m/0ds3t5x', 'film release regions', '/m/06bnz'], ['/m/0f_nbyh', 'nomination', '/m/0fpv_3_'], ['/m/0fpv_3_', 'film release regions', '/m/0j1z8'], ['/m/0fpv_3_', 'film release regions', '/m/0d0vqn'], ['/m/0dgpwnk', 'film release regions', '/m/01ls2'], ['/m/03mgx6z', 'film release regions', '/m/01ls2'], ['/m/03rbzn', 'countries playing this sport', '/m/07fj_'], ['/m/03rbzn', 'sport featured in', '/m/0jdk_'], ['/m/03rbzn', 'countries playing this sport', '/m/06bnz'], ['/m/03twd6', 'film country of origin', '/m/0345h'], ['/m/03twd6', 'webpage category', '/m/08mbj5d'], ['/m/03twd6', 'film release regions', '/m/06mzp'], ['/m/043tvp3', 'film release regions', '/m/01ls2']]","[['/m/016wzw', 'shares border with', '/m/01ls2'], ['/m/0jdk_', 'includes sports', '/m/0bynt'], ['/m/0jdk_', 'include sports', '/m/0bynt'], ['/m/07rlg', 'countries playing this sport', '/m/01ls2'], ['/m/0jhn7', 'include sports', '/m/0bynt'], ['/m/019tzd', 'countries playing this sport', '/m/01ls2'], ['/m/0ds3t5x', 'film release regions', '/m/01ls2']]"
