,zerohop,onehop,twohop,connecting
0,"[['08955082', 'instance_hypernym', '08700255']]","[['09207288', 'has_part', '08955082'], ['08954611', 'has_part', '08955082'], ['08955082', 'member_of_domain_region', '01299994'], ['08848094', 'instance_hypernym', '08700255'], ['09022265', 'instance_hypernym', '08700255'], ['08900535', 'instance_hypernym', '08700255']]","[['09207288', 'has_part', '08975902'], ['09207288', 'has_part', '08957381'], ['09207288', 'has_part', '09194710'], ['09207288', 'has_part', '08954611'], ['08954611', 'member_of_domain_region', '01305551'], ['02967791', 'derivationally_related_form', '08954611'], ['08955082', 'has_part', '09481285'], ['08848094', 'member_meronym', '09691858'], ['08172103', 'member_meronym', '08848094'], ['08910394', 'has_part', '08848094'], ['08956760', 'instance_hypernym', '08700255'], ['08703454', 'instance_hypernym', '08700255'], ['08295138', 'member_meronym', '09022265'], ['09022265', 'has_part', '09022538'], ['09022265', 'member_of_domain_region', '08025835'], ['08900535', 'member_meronym', '09673495'], ['08900535', 'has_part', '08904392'], ['08900535', 'member_of_domain_region', '08311522'], ['09207288', 'has_part', '08700255']]","[['08975902', 'instance_hypernym', '08700255'], ['08957381', 'instance_hypernym', '08700255']]"
1,"[['08769179', 'instance_hypernym', '08574314']]","[['09039260', 'instance_hypernym', '08574314'], ['08519624', 'instance_hypernym', '08574314'], ['08602650', 'instance_hypernym', '08574314']]","[['08913434', 'has_part', '09039260'], ['09038990', 'has_part', '09039260'], ['08945277', 'instance_hypernym', '08574314'], ['08519624', 'has_part', '09238674'], ['08519624', 'member_meronym', '09639382'], ['08519624', 'has_part', '08519916'], ['09038990', 'instance_hypernym', '08574314'], ['09141526', 'has_part', '08602650'], ['08563478', 'instance_hypernym', '08574314']]","[['08519916', 'instance_hypernym', '08574314']]"
2,"[['08762104', 'instance_hypernym', '08524735']]","[['08762104', 'instance_hypernym', '08633957'], ['08771400', 'instance_hypernym', '08524735'], ['08927678', 'instance_hypernym', '08524735'], ['09134999', 'instance_hypernym', '08524735']]","[['08958334', 'instance_hypernym', '08633957'], ['08766988', 'has_part', '08771400'], ['08713136', 'instance_hypernym', '08524735'], ['08772667', 'instance_hypernym', '08524735'], ['08773880', 'instance_hypernym', '08524735'], ['09134386', 'has_part', '09134999']]","[['08958334', 'instance_hypernym', '08524735']]"
3,"[['10871129', 'instance_hypernym', '10705615']]","[['11080745', 'instance_hypernym', '10705615'], ['10815648', 'instance_hypernym', '10705615'], ['00613973', 'derivationally_related_form', '10705615']]","[['10705615', 'derivationally_related_form', '06183899'], ['10815648', 'instance_hypernym', '10547145'], ['10815648', 'instance_hypernym', '09947232'], ['10815648', 'instance_hypernym', '09921792'], ['11377043', 'instance_hypernym', '10705615'], ['00613973', 'synset_domain_topic_of', '06182144'], ['10705615', 'derivationally_related_form', '00613973'], ['00613973', 'hypernym', '00610373'], ['00631398', 'derivationally_related_form', '10705615']]","[['09921792', 'hypernym', '10705615'], ['06182144', 'derivationally_related_form', '10705615']]"
4,"[['08783583', 'instance_hypernym', '08782627']]","[['08784104', 'has_part', '08783583'], ['08783583', 'member_meronym', '09711530'], ['08780881', 'has_part', '08783583'], ['08783812', 'instance_hypernym', '08782627'], ['09188609', 'has_part', '08782627'], ['08782627', 'hypernym', '09316454']]","[['08784104', 'instance_hypernym', '09428293'], ['08701942', 'has_part', '08784104'], ['08780881', 'has_part', '08786432'], ['08780881', 'member_of_domain_region', '06293229'], ['08780881', 'has_part', '08783812'], ['08783286', 'has_part', '08783812'], ['09188609', 'has_part', '08790748'], ['09350045', 'has_part', '09188609'], ['08782976', 'instance_hypernym', '08782627']]","[['08783286', 'instance_hypernym', '08782627']]"
5,"[['08918248', 'instance_hypernym', '08574314']]","[['08913434', 'has_part', '08918248'], ['08917503', 'has_part', '08918248'], ['09039260', 'instance_hypernym', '08574314'], ['08519624', 'instance_hypernym', '08574314'], ['08602650', 'instance_hypernym', '08574314']]","[['08913434', 'has_part', '09038990'], ['08913434', 'has_part', '08914193'], ['08913434', 'has_part', '08917881'], ['08917503', 'derivationally_related_form', '02690613'], ['08916832', 'member_of_domain_region', '08917503'], ['08917503', 'instance_hypernym', '08574314'], ['08913434', 'has_part', '09039260'], ['09038990', 'has_part', '09039260'], ['08945277', 'instance_hypernym', '08574314'], ['08519624', 'has_part', '09238674'], ['08519624', 'member_meronym', '09639382'], ['08519624', 'has_part', '08519916'], ['09038990', 'instance_hypernym', '08574314'], ['09141526', 'has_part', '08602650'], ['08563478', 'instance_hypernym', '08574314']]","[['08917881', 'instance_hypernym', '08574314'], ['08519916', 'instance_hypernym', '08574314']]"
6,"[['10974033', 'instance_hypernym', '09765278']]","[['10855047', 'instance_hypernym', '09765278'], ['11265416', 'instance_hypernym', '09765278'], ['09765278', 'derivationally_related_form', '01719921']]","[['10740732', 'hypernym', '09765278'], ['11011398', 'instance_hypernym', '09765278'], ['11302062', 'instance_hypernym', '09765278'], ['01719921', 'derivationally_related_form', '07007945'], ['01719921', 'derivationally_related_form', '09840050'], ['01719921', 'verb_group', '01719302']]","[['01719921', 'derivationally_related_form', '09765278'], ['09840050', 'hypernym', '09765278'], ['01719302', 'derivationally_related_form', '09765278']]"
7,"[['08808614', 'instance_hypernym', '08803382']]","[['08801678', 'has_part', '08808614'], ['08808614', 'has_part', '08809165'], ['08812952', 'instance_hypernym', '08803382'], ['08804962', 'instance_hypernym', '08803382'], ['08812399', 'instance_hypernym', '08803382']]","[['08801678', 'has_part', '08808292'], ['08801678', 'has_part', '08812952'], ['08801678', 'has_part', '09357847'], ['08812952', 'has_part', '08813156'], ['08812952', 'has_part', '08813264'], ['08811215', 'instance_hypernym', '08803382'], ['08801678', 'member_of_domain_region', '08804962'], ['08801678', 'has_part', '08804962'], ['08804154', 'instance_hypernym', '08803382'], ['08801678', 'has_part', '08812399'], ['08809749', 'instance_hypernym', '08803382']]","[['08808292', 'instance_hypernym', '08803382']]"
8,"[['08946187', 'instance_hypernym', '08698379']]","[['08946187', 'member_meronym', '09748889'], ['08946187', 'has_part', '08946715'], ['09189411', 'has_part', '08946187'], ['08897065', 'instance_hypernym', '08698379'], ['08759986', 'instance_hypernym', '08698379'], ['08962187', 'instance_hypernym', '08698379']]","[['08946187', 'has_part', '08946812'], ['03068473', 'derivationally_related_form', '09748889'], ['08946187', 'derivationally_related_form', '03068473'], ['09189411', 'has_part', '08971025'], ['09189411', 'has_part', '08947319'], ['09189411', 'has_part', '08762495'], ['08897065', 'derivationally_related_form', '02971469'], ['08897065', 'has_part', '08900047'], ['09189411', 'has_part', '08897065'], ['08969291', 'instance_hypernym', '08698379'], ['09165613', 'instance_hypernym', '08698379'], ['08707917', 'instance_hypernym', '08698379'], ['09189411', 'has_part', '08759986'], ['08759986', 'member_meronym', '09705287'], ['08961970', 'has_part', '08962187'], ['09189411', 'has_part', '08962187']]","[['03068473', 'derivationally_related_form', '08946187'], ['09189411', 'has_part', '08698379'], ['08971025', 'instance_hypernym', '08698379'], ['08762495', 'instance_hypernym', '08698379']]"
9,"[['06441607', 'instance_hypernym', '06394865']]","[['06453849', 'has_part', '06441607'], ['06441607', 'instance_hypernym', '06455138'], ['06437137', 'instance_hypernym', '06394865'], ['06442616', 'hypernym', '06394865'], ['06437824', 'instance_hypernym', '06394865']]","[['06453849', 'has_part', '06442239'], ['11087359', 'synset_domain_topic_of', '06453849'], ['08506932', 'synset_domain_topic_of', '06453849'], ['06441973', 'instance_hypernym', '06455138'], ['06442239', 'instance_hypernym', '06455138'], ['06449735', 'has_part', '06437137'], ['06453324', 'has_part', '06437137'], ['06436939', 'instance_hypernym', '06394865'], ['06453849', 'has_part', '06442616'], ['06436183', 'instance_hypernym', '06394865'], ['06461077', 'has_part', '06437824'], ['06453324', 'has_part', '06437824'], ['06449735', 'has_part', '06437824'], ['06387980', 'has_part', '06394865']]","[['06442239', 'instance_hypernym', '06394865'], ['06441973', 'instance_hypernym', '06394865']]"
